steam_id,display_name,internal_name,version,translators,note
2597324266,Wing Slot Extra,WingSlotExtra,1.4.4,ぽぷのべり,
3006139970,Wing Time UI,WingTimeUI,0.1.4.1,ぽぷのべり,
2614858363,Wireless,Wireless,1.6.1,mori (new),すべて翻訳済み
2877696929,Wombat's General Improvements,WombatQOL,1.3.10.4,Hurugitune,バージョン情報を更新(1.3.10.4 → 1.3.11.2) (ぽぷのべり)
2858293378,World Country Flags,WorldFlags,1.2,ぽぷのべり,
3038043971,World Link,WorldLink,1.2,ぽぷのべり,
2843258712,WorldGen Previewer,WorldGenPreviewer,0.8,ぽぷのべり,
2825008228,ZeroX's Combat HUDs,ZeroXHUD,0.2.4.2,Hurugitune,すべて翻訳済み
2973922820,东方小伙伴 ~ Adventure with cute partners,TouhouPets,1.1.4.3,ぽぷのべり,大規模修正を行いました。解釈などに関してはメモを残してあります。(Hurugitune)
2812108605,积分商店 Point Shop,PointShop,2.0.3.5,ぽぷのべり,バージョン更新有り、一部未翻訳(ぽぷのべり)
3439980996,积分商店（扩展版）,积分商店扩展,0.0.2,ぽぷのべり,
